場所名稱,場所地址,場所經緯度X,場所經緯度Y,場所類型,場所網址,場所描述,AED放置地點,AED經緯度X,AED經緯度Y,AED地點描述,開放使用時間,開放使用時間緊急連絡電話,資料建立時間
西嶼西臺遊客中心,澎湖縣西嶼鄉外垵村1鄰1之15號,119.484666,23.568319,直轄市、縣(市)政府主管之風景區,http://www.penghu-nsa.gov.tw/SceneryDetail_Visitor.aspx?KeyID=016be631-3f5f-4abe,,西嶼西臺遊客中心內,119.484666,23.568319,西嶼西臺遊客中心大門左方,"星期一至星期五  至 
                星期六  至 
                星期日  至 
                備註:08：00-17：30",(06) 993-3082,2016-06-29 09:23:00.0
新竹縣私立內思高級工業職業學校,新竹縣新埔鎮楊新路一段40號,121.083198,24.828319,高中職,http://163.19.9.241/ischool/publish_page/0/,"校門口左方坡道進入直行前往健康中心AED裝設於健康中心門口柱上",健康中心前,121.083198,24.828319,"校門口左方坡道進入直行前往健康中心AED裝設於健康中心門口柱上","星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",03-5882520,2014-01-14 09:16:00.0
南開科技大學,南投縣草屯鎮中正路568號,120.696843,23.979233,大專院校,http://www.nkut.edu.tw/,,學生宿舍1樓廊道區,120.696843,23.979233,放置於學生宿舍1樓廊道區之牆邊〈書局外側〉,"星期一至星期五 00:00 至 00:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:",0953-695695,2013-12-17 17:40:00.0
好市多股份有限公司物流分公司,桃園縣觀音鄉大潭南路198號,121.058736,25.032572,其他場所,,好市多物流中心,1樓鐵捲門出口處,121.058736,25.032572,1樓鐵捲門出口處，廠區中間位置,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",03-4737388,2013-11-29 12:28:00.0
雲林縣議會,雲林縣斗六市大學路3段222號,120.528525,23.695817,議會,http://www.ylcc.gov.tw/,,一樓總機室門口,120.528525,23.695817,一樓入口左側約中段處,"星期一至星期五 08:00 至 17:30
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:",05-5322312,2013-10-16 14:03:00.0
中央研究院,台北市南港區研究院路2段128號,121.616651,25.042294,其他場所,,,行政大樓警衛室,121.616233,25.042006,警衛室門口牆上,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",02-27899435,2014-12-11 10:52:00.0
南投縣立旭光高級中學,南投縣草屯鎮中正路568-23號,120.694686,23.979547,高中職,http://163.22.62.2,,健康中心,120.694686,23.979547,健康中心入門櫃子內,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",0972-143860,2013-09-16 10:15:00.0
彰化汽車客運股份有限公司員林轉運站,彰化縣員林鎮靜修路52-1號,120.56906,23.962424,其他場所,,,彰化客運員林轉運站機房室,120.56906,23.962424,自靜修路大門進入後右轉到底即為機房室,"星期一至星期五 05:50 至 23:00
                星期六 05:50 至 23:00
                星期日 05:50 至 23:00
                備註:",04-7224603,2013-10-17 17:33:00.0
新光三越台北站前店,台北市中正區忠孝西路1段66號8F,121.515283,25.046245,百貨業,http://www.skm.com.tw/,新光三越百貨公司_台北站前店_8F 育嬰室內,8樓育嬰室內醫護室,121.515283,25.046245,醫護室事務桌,"星期一至星期五 11:00 至 21:30
                星期六 11:00 至 22:00
                星期日 11:00 至 21:30
                備註:",02-23885552#5508,2013-10-30 15:10:00.0
桃園縣政府地政局,桃園縣桃園市縣府路1號三樓,121.30106,24.992903,其他場所,http://www.land.tycg.gov.tw/,桃園縣政府地政局 辦公廳舍,桃園縣政府地政局 辦公廳舍,121.30106,24.992903,桃園縣政府地政局 辦公廳舍,"星期一至星期五 08:00 至 18:00
                星期六  至 
                星期日  至 
                備註:",033322101,2014-06-25 11:42:00.0
高雄市立中正高級工業職業學校,高雄市前鎮區光華二路80號,120.31754,22.610643,高中職,https://www.lttc.ntu.edu.tw/jlpt/exam/2013B-15-K.pdf,,中正高工正門口,120.31754,22.610643,中正高工正門口警衛室,"星期一至星期五 00:00 至 23:55
                星期六 07:00 至 20:00
                星期日 07:00 至 20:00
                備註:",7232301#291,2014-04-01 17:48:00.0
臺北捷運萬芳醫院站BR04,台北市文山區興隆路3段113號,121.558152,24.999386,捷運站,,,捷運萬芳醫院站3樓大廳,121.558152,24.999386,捷運萬芳醫院站3樓大廳詢問處旁,"星期一至星期五 06:00 至 00:00
                星期六 06:00 至 00:00
                星期日 06:00 至 00:00
                備註:",218-12345,2014-03-11 17:58:00.0
臺北市士林區戶政事務所,台北市士林區中正路439號3樓,121.519559,25.092762,其他場所,http://www.slhr.taipei.gov.tw,士林行政中心3樓士林戶政事務所民眾等待區,3樓民眾等待區,121.519559,25.092762,士林區戶政事務所3樓民眾等待區,"星期一至星期五 08:00 至 20:30
                星期六  至 
                星期日  至 
                備註:",2880-3252,2014-05-22 19:01:00.0
中部汽車員林服務廠,彰化縣大村鄉中山路2段308號,120.536514,24.034614,其他場所,,離彰化監理站200公尺左右,顧客休息室,120.536514,24.034614,顧客休息室,"星期一至星期五 08:30 至 17:30
                星期六 08:30 至 17:30
                星期日 08:30 至 17:30
                備註:",04-8525812,2014-08-12 09:01:00.0
桃園國際機場股份有限公司,桃園縣大園鄉航站南路9號,121.231976,25.077012,機場,http://www.taoyuan-airport.com,,第2航廈3樓出境報到大廳,121.231976,25.077012,二航廈三樓出境報到大廳記者採訪區,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",03-2733550,2014-05-15 18:59:00.0
桃苗汽車股份有限公司桃苗汽車股份有限公司桃園服務廠服務廠,桃園縣桃園市中山路747號,121.290459,24.990684,其他場所,,,服務廠客休室,121.290459,24.990684,服務廠客休室,"星期一至星期五 08:30 至 17:30
                星期六 08:30 至 17:30
                星期日 08:30 至 17:30
                備註:",03-2205009,2014-09-05 10:48:00.0
楊梅雅聞魅力博覽館觀光工廠,桃園市楊梅區中山北路一段21巷1號,121.150838,24.906562,民營遊樂業,http://www.arwin.com,一樓體驗館（賣場）,楊梅雅聞魅力博覽館觀光工廠,121.150759,24.906626,一樓體驗館（賣場）,"星期一至星期五 09:00 至 17:00
                星期六 09:00 至 17:00
                星期日 09:00 至 17:00
                備註:全年無休（初夕、初一、初二除外）",03-4883800,2016-05-25 14:51:00.0
統合開發股份有限公司台中第三分公司,台中市和平區博愛里東關路一段188號,121.002307,24.202175,旅館,http://www.uni-resort.com.tw/gu/,,大廳,121.002307,24.202175,大廳入口處,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:24小時",04-25950000,2014-05-21 18:32:00.0
臺北市政府警察局中山分局中山二派出所,台北市中山區中山北路二段90號,121.522617,25.057752,其他場所,,中山分局中山二派出所,大門入口右側,121.522617,25.057752,派出所大門進去右側,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:全天開放",02-25412002,2015-02-17 20:35:00.0
臺中市大里區塗城國小,台中市大里區文化街120號,120.700339,24.09302,國小,http://www.tches.tc.edu.tw/,健康中心前面柱子上,健康中心前面柱子上,120.699607,24.093127,健康中心前面柱子上,"星期一至星期五 07:00 至 17:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:星期六.日校園不開放",(04)24922935,2013-10-21 12:16:00.0
國立成功大學力行校區,台南市東區大學路1 號,120.21575,23.001686,大專院校,http://eps.gis.ncku.edu.tw/index.htm?cate=12,力行校區綠色魔法學校1樓。,綠色魔法學校1樓樓梯口旁,120.21575,23.001686,"綠色魔法學校1樓，樓梯口旁之牆邊。校安中心2381187、校內分機直播55555；駐警隊2752615、校內分機直播66666；駐警隊巡邏車備有1組自動體外心臟電擊去顫器(AED)。","星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:本設備放置於綠色魔法學校1樓內，非上班時段有門禁管制。
校安中心2381187、校內分機直播55555；駐警隊2752615、校內分機直播666666；駐警隊巡邏車備有1組自動體外心臟電擊去顫器(AED)。",2381187、2752615,2014-05-19 11:56:00.0
臺南市北門區錦湖國民小學,台南市北門區錦湖里75號,120.147772,23.281848,國小,,,健康中心,120.147772,23.281848,放置於健康中心前面,"星期一至星期五 09:00 至 16:00
                星期六 09:00 至 16:00
                星期日 09:00 至 16:00
                備註:",06-7863454,2015-02-11 11:19:00.0
天鏡科技股份有限公司,新北市新莊區復興路一段3號之2 五樓,121.445493,25.04165,其他場所,,,公司大廳入口處右側,121.445493,25.04165,搭電梯上五樓在天鏡科技公司裡的大廳,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:六、日不開放。",02-29981008,2016-11-10 00:13:00.0
台灣通用器材股份有限公司,新北市新店區寶橋路233號,121.550527,24.978291,其他場所,,,三樓飲水機旁,121.550527,24.978291,三樓飲水機旁,"星期一至星期五 16:00 至 16:00
                星期六 16:00 至 16:00
                星期日 16:00 至 16:00
                備註:All time",02-29113861#6229,2014-10-07 18:03:00.0
香港商世界健身事業有限公司台南分公司,台南市中西區中山路166號地下一、二樓,120.210022,22.995668,健身房,http://www.worldgymtaiwan.com,Focus百貨地下一樓,健身中心地下一樓,120.210022,22.995668,健身中心地下一樓運動區飲水機旁,"星期一至星期五 06:00 至 00:00
                星期六 06:00 至 00:00
                星期日 06:00 至 00:00
                備註:",06-6006688,2013-11-15 20:03:00.0
臺中市政府文化局新社區圖書館,台中市新社區新社里興社街4段1巷1號,120.809711,24.240648,圖書館,htt,本館位於新社區衛生所後方。新社國小大門入口處，為區民平日活動區域。,本館大門入口處,120.809711,24.240648,AED放置於本館大門入口處，位置醒目，方便取用。,"星期一至星期五 08:00 至 17:30
                星期六 08:00 至 17:30
                星期日 08:00 至 17:30
                備註:星期一及國定例假日休館",0425817868#11ss002,2013-10-15 17:01:00.0
中山工商職校,高雄市大寮區正氣路79號,120.393116,22.599362,高中職,,,若水大樓1樓,120.392926,22.598609,近廁所,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",07-7815311*236,2013-11-07 14:49:00.0
陽明海運股份有限公司高雄分公司,高雄市小港區新生路999號,120.320058,22.559449,其他場所,,,管理員座位後方,120.320058,22.559449,70W船邊大樓1樓管理室內,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",(07)812-9200,2014-03-31 14:05:00.0
苗栗縣後龍鎮新港國民中小學,苗栗縣後龍鎮校椅里校椅二路168號,120.826639,24.610561,國中,http://www.skes.mlc.edu.tw/,為一所公立鄉村中小學,健康中心,120.826639,24.610561,位於行政大樓一樓,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",037-722547,2013-10-21 09:49:00.0
高雄市政府環境保護局中區資源回收廠,高雄市三民區鼎金一巷15號,120.33126,22.66585,其他場所,http:// crrp.kcg.gov.tw/,公營焚化廠,行政大樓1樓,120.33126,22.66585,行政大樓1樓,"星期一至星期五 08:30 至 17:00
                星期六  至 
                星期日  至 
                備註:星期六日公休",3909400ext800,2017-02-13 09:14:00.0
交通部民用航空局臺北國際航空站(松山機場)-出境證照查驗大廳,台北市松山區敦化北路340-9號,121.552858,25.063676,機場,,,國際線2樓外候機室,121.552858,25.063676,飲水機與充電站間,"星期一至星期五 05:00 至 23:00
                星期六 05:00 至 23:00
                星期日 05:00 至 23:00
                備註:",(02)8770-3550,2013-10-24 14:58:00.0
桃園翰品酒店,桃園縣桃園市民生路107號,121.31344,24.992592,旅館,http://taoyuan.chateaudechine.com/zh-tw/,,酒店大門口,121.31344,24.992592,1樓大門牆角，服務中心斜後方。,"星期一至星期五 00:00 至 12:00
                星期六 00:00 至 12:00
                星期日 23:00 至 23:00
                備註:全年、全日開放",03-3377123,2014-05-05 13:39:00.0
桃園縣桃園區漁會,桃園縣大園鄉沙崙村18鄰港口80-3號,121.243419,25.114211,直轄市、縣(市)政府主管之風景區,,,漁業綜合大樓1樓,121.243419,25.114211,漁業綜合大樓1樓,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",03-3830994,2014-04-23 16:29:00.0
澎湖遊客中心,澎湖縣馬公市澎湖縣馬公市光華里171號,119.586158,23.566122,國家級風景區,http://www.penghu-nsa.gov.tw/intro/intro.htm,澎湖遊客中心視廳室旁,澎湖遊客中心,119.586158,23.566122,澎湖遊客中心視廳室旁,"星期一至星期五 08:00 至 17:30
                星期六 08:00 至 17:30
                星期日 08:00 至 17:30
                備註:春節休館1天",06-9216445,2015-10-23 16:08:00.0
高雄市立美術館,高雄市鼓山區美術館路80號,120.286551,22.656697,美術館,,,高美館雕塑大廳,120.286551,22.656697,高美館雕塑大廳入口處右側,"星期一至星期五 09:30 至 17:30
                星期六 09:30 至 17:30
                星期日 09:30 至 17:30
                備註:星期一休館",07-5550331轉235,2014-01-03 17:29:00.0
私立稻江商業職業學校,台北市大同區民權西路225巷24號,121.512032,25.06419,高中職,,,警衛室,121.512032,25.06419,校門口警衛室裡,"星期一至星期五 07:30 至 22:00
                星期六 07:30 至 22:00
                星期日 07:30 至 22:00
                備註:",02-25912001,2014-06-16 15:32:00.0
新北市立重慶國民中學,新北市板橋區國慶路221號,121.46313,24.998187,國中,http://www.ccjh.ntpc.edu.tw/,,中央川堂,121.46313,24.998187,大門直走80公尺即抵達,"星期一至星期五 05:30 至 19:00
                星期六 06:30 至 18:00
                星期日 06:30 至 18:00
                備註:",02-29543001*510,2014-06-25 14:56:00.0
長榮航空股份有限公司,桃園縣蘆竹鄉新南路一段376號,121.297197,25.040617,航空器,,,長榮客機,121.297197,25.040617,"A321-200: besides R3 door crew seatA330-200:FWD side wall of L2 doorA330-300:FWD side wall of L1 doorB747-COMBI: AFT side wall of L2 doorB747-400:FWD side wall of L2 doorB777A:Wall beside R2 door crew seatB777N: Wall beside R2 door crew seat","星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:依據班機時刻表",03-3516152,2014-07-29 19:31:00.0
財團法人臺南市孔廟文化基金會,台南市中西區南門路2號,120.204085,22.990554,文化園區,,,節孝祠門口,120.204085,22.990554,節孝祠門口,"星期一至星期五 08:30 至 17:30
                星期六 08:30 至 17:30
                星期日 08:30 至 17:30
                備註:除夕休館不開放",06-2214647,2016-10-26 10:29:00.0
三商美邦人壽大樓警衛管理室,嘉義市西區垂楊路505號1樓,120.442126,23.472926,其他場所,,,三商美邦人壽大樓警衛管理室,120.442126,23.472926,三商美邦人壽大樓1樓電梯口右側,"星期一至星期五 08:45 至 17:30
                星期六 08:00 至 00:00
                星期日 08:00 至 00:00
                備註:全天開放",05-2833201,2016-07-15 15:55:00.0
嘉南水利會白河水庫管理處,台南市白河區仙草里1-18號,120.482836,23.354521,開放觀光遊憩活動水庫,,,白河水庫管理處,120.482836,23.354521,位於嘉南農田水利會白河水庫管理處辦公室入口處,"星期一至星期五 08:00 至 17:00
                星期六 08:00 至 17:00
                星期日 08:00 至 17:00
                備註:",066853860,2013-12-05 09:50:00.0
健行科技大學,桃園市中壢區健行路229號,121.227924,24.948122,大專院校,http://www.uch.edu.tw,,圖書館_入口處,121.227924,24.948122,放置於圖書館入口處之牆邊,"星期一至星期五 08:00 至 22:00
                星期六 08:00 至 18:00
                星期日  至 
                備註:星期日全天管制無開放",03-4581196轉3563,2013-12-19 09:14:00.0
鎮寶大飯店,南投縣埔里鎮忠孝路299號,120.974217,23.965122,飯店,http://www.chengpao.com.tw,位於埔里鎮忠孝路與中華路口,飯店一樓大廳櫃檯內,120.974217,23.965122,櫃檯檯面上,"星期一至星期五  至 
                星期六  至 
                星期日  至 
                備註:全年無休",049-2903333,2015-06-08 16:37:00.0
長春人造樹脂(股)公司新竹廠,新竹縣湖口鄉鳳山村中華路8號,121.006455,24.867083,其他場所,,,長春人造樹脂(股)公司新竹廠,121.006455,24.867083,總務大樓1樓入口處,"星期一至星期五 08:30 至 17:00
                星期六  至 
                星期日  至 
                備註:",03-5981511#211,2017-01-03 13:42:00.0
香港商世界健身事業有限公司大安分公司,台北市大安區信義路4段6號三樓,121.544108,25.033107,健身房,http://www.worldgymtaiwan.com/,,健身中心三樓入口大廳,121.544108,25.033107,健身中心三樓入口大廳辦公室入口,"星期一至星期五 06:00 至 00:00
                星期六 06:00 至 00:00
                星期日 06:00 至 00:00
                備註:",02-23258888,2013-11-14 21:23:00.0
文藻外語大學,高雄市三民區民族一路900號,120.31914,22.670349,大專院校,,,求真樓,120.318883,22.668764,求真樓1樓穿堂,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",07-3429958,2014-07-16 13:43:00.0
新莊國民運動中心,新北市新莊區新北市新莊區公園路11號,121.45,25.033333,運動中心,http://www.xzsports.com.tw/,"位於新莊體育園區內，新莊區和興街、復興路、公園路及中華路間，距捷運新莊站僅10分鐘車程。園區內有棒球場、體育館、400公尺跑道、健身中心、舞蹈教室等完善之運動設施",新莊國民運動中心-三樓撞球館,121.45,25.033333,本中心3樓設置撞球室，有10座全新OLIO球檯及2座英式球檯，全天候空調搭配融合室外採光與室內燈光設計的空間外，亦是無菸害環境非常適合全家大小一起來活動。,"星期一至星期五 06:00 至 22:00
                星期六 06:00 至 22:00
                星期日 06:00 至 22:00
                備註:除夕、初一休館",02-77288898,2013-12-25 20:42:00.0
苗栗縣立啟新國民中學,苗栗縣通霄鎮白東里17鄰135之2號,120.712789,24.56211,國中,,,健康中心,120.7133,24.561102,健康中心內,"星期一至星期五 08:00 至 16:00
                星期六  至 
                星期日  至 
                備註:",037-792804,2014-05-20 14:23:00.0
國立臺灣體育運動大學(文英館),台中市北區雙十路一段10之5號,120.686898,24.147479,美術館,http://arts.camel.ntupes.edu.tw/front/bin/ptlist.phtml?Category=2,,茶水間,120.686898,24.147479,文英館入館後，左前方設有茶水間，置於茶水間內,"星期一至星期五 09:00 至 17:00
                星期六 09:00 至 17:00
                星期日  至 
                備註:星期一休館",04-22253756,2014-08-20 10:56:00.0
臺北市政府警察局大安分局和平東路派出所,台北市大安區和平東路1段143號,121.530509,25.026615,其他場所,,,1樓門口值班臺前,121.530509,25.026615,進門左側值班臺前,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:全天開放",02-23218073,2015-01-19 16:17:00.0
總爺藝文中心,台南市麻豆區南勢里總爺5號,120.268359,23.184577,文化園區,http://tyart.tnc.gov.tw/,"位於臺南麻豆的「總爺藝文中心」原為日本明治製糖株式會社的「總爺工廠」及「本社」，於1912年1月開始營運。二次大戰結束，糖廠由臺灣行政長官公署接收，歷經多次改組、合併經營，最後於1993年關閉。           1998年進行拆除廠房工程時，麻豆鎮文史工作者與當地居民意識到這個與曾與麻豆人生活息息相關的生活記憶即將被清除，便積極向政府提出保留的訴求。1999年11月19日，臺南縣政府正式公告總爺紅樓辦公室、廠長宿舍、招待所、紅磚員工餐廳、日式庭園，以及百年樟樹群為縣定古蹟。昔日載運甘蔗的老火車頭、糖?榨石也被保存下來。           隨著「古蹟活化再生」、「閒置空間再利用」的觀念逐漸受到國人重視，政府也積極推動「社區總體營造政策」，這個舊糖廠因而被改設為「南瀛總爺藝文中心」，於2001年11月4日正式掛牌營運，並著手進行歷史建物的修繕工程。           麻豆因保有深厚的民間信仰與多項傳統技藝、文化產業，總爺藝文中心的主要定位則以工藝類為主，結合特展、工坊、地方文化館、國際藝術村與豐富的綠帶資源，兼具發展工藝美學、觀光休閒與教育的功能，也致力串連臺南的藝文學術資源與社區活動、擴展網絡與多元文化交流，形成一個流動的場域。           緊鄰藝文中心的「?荳古港文化園區」，保有清領時期遺留的港埠遺址，並設有「倒風內海故事館」。這兩個園區記錄了麻豆區自遠古至近現代的發展與變遷，也可說是臺灣歷史的縮影。",總爺小舖,120.268359,23.184577,置於總爺小舖內,"星期一至星期五 09:00 至 17:00
                星期六 09:00 至 17:00
                星期日 09:00 至 17:00
                備註:",06-5718123,2016-05-10 17:38:00.0
苗栗縣銅鑼鄉戶政事務所,苗栗縣銅鑼鄉福興村18鄰復興路16號,120.788597,24.492204,其他場所,http://www.miaoli.gov.tw/tonglud_household/index.php,本場所位於銅鑼國小側門旁及文林國中操場後門邊。,一樓,120.790243,24.490611,本機放置於一樓辦公場所之大門口右側,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",037-981546,2013-10-03 15:40:00.0
賀緹酒店,台中市太平區育賢路286號,120.719726,24.158023,飯店,,賀緹酒店,大門右側,120.716137,24.158586,大門右側,"星期一至星期五 00:00 至 00:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:不對外開放",04-22073803,2015-07-08 18:03:00.0
新北市莊敬高級工業家事職業學校,新北市新店區民生路45號,121.532169,24.985717,高中職,,,健康中心,121.532169,24.985717,本校西校區健康中心,"星期一至星期五 07:00 至 22:00
                星期六  至 
                星期日  至 
                備註:",22188956#123,2014-04-30 17:48:00.0
苗栗縣後龍鎮溪洲國民小學,苗栗縣後龍鎮苗栗縣後龍鎮溪洲里87-3號,120.776822,24.62109,國小,,,健康中心,120.776822,24.62109,健康中心,"星期一至星期五 07:30 至 16:30
                星期六  至 
                星期日  至 
                備註:",037-723853,2013-10-14 12:15:00.0
臺南市北門區公所,台南市北門區北門里舊埕108號,120.125445,23.267724,其他場所,,北門區行政機關,本所1樓辦公室,120.125445,23.267724,入口明顯處,"星期一至星期五 08:00 至 17:30
                星期六  至 
                星期日  至 
                備註:",06-7862001,2016-12-22 16:23:00.0
國立霧峰高級農工職業學校,台中市霧峰區中正路1222號,120.699715,24.072709,高中職,http://www.wufai.edu.tw/index.html,,活動中心,120.699715,24.072709,活動中心-中正堂,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",0921727421,2013-10-21 09:43:00.0
臺北捷運松江南京站G17,台北市中山區南京東路2段108號B1,121.533039,25.052035,捷運站,http://www.trtc.com.tw/ct.asp?xItem=78479152&CtNode=70089&mp=122035,臺北捷運松江南京站,B1大廳層,121.533039,25.052035,B1大廳層，近1號出口,"星期一至星期五 06:00 至 00:00
                星期六 06:00 至 00:00
                星期日 06:00 至 00:00
                備註:",02-21812345,2015-01-08 15:46:00.0
新北市林口區頭湖國小,新北市林口區民權路101號,121.373213,25.082677,國小,,,一樓健康中心,121.373213,25.082677,大門穿堂入口右側一樓健康中心,"星期一至星期五 07:30 至 16:30
                星期六  至 
                星期日  至 
                備註:",0226080766#881,2014-04-17 15:50:00.0
桃園市立南崁高中,桃園市蘆竹區仁愛路二段1號,121.301008,25.053146,高中職,http://www.nksh.tyc.edu.tw,南崁高中警衛室,南崁高中警衛室,121.301008,25.053146,南崁高中警衛室外,"星期一至星期五  至 
                星期六  至 
                星期日  至 
                備註:全日",03-3119427,2014-08-27 13:22:00.0
桃園縣立高義國民小學,桃園市復興區高義村3鄰28號,121.3604,24.71212,國小,http://www.gyes.tyc.edu.tw/,本校位於台七線40.5公里處，地處偏遠，就醫需要1小時左右。,本校辦公室,121.3604,24.71212,置於本校辦公室廁所旁。,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",03-3912251,2014-12-11 10:33:00.0
台灣電力公司大潭發電廠,桃園市觀音區大潭村電廠路1號,121.059309,25.035217,其他場所,http://10.123.200.2/,台61走到底,行政大樓1樓,121.059309,25.035217,進門右手邊會客室,"星期一至星期五 08:00 至 16:30
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:非開放時間取用請聯絡門口警衛室及值班經理分機5000",03-4733777*2420,2014-01-07 20:31:00.0
